"ChatKey","ZipPath","InIndex","Exists","Entries","IndexHtml","Changelog","Tools","ZipStamp","IndexTime"
"ChatKey","C:\Dev\my-camino\handover\ZIP-sti","True","False","0","False","False","False",,"Sist oppdatert"
"dev-platform","C:\Dev\my-camino\handover\dev-platform-handover.zip","True","True","24","True","True","True",,"2025-08-30 23:35"
"ideer-lab","C:\Dev\my-camino\handover\ideer-lab-handover.zip","True","True","24","True","True","True",,"2025-08-30 23:35"
"pilot-studier","C:\Dev\my-camino\handover\pilot-studier-handover.zip","True","True","24","True","True","True",,"2025-08-30 23:36"
"partner-tilskudd","C:\Dev\my-camino\handover\partner-tilskudd-handover.zip","True","True","24","True","True","True",,"2025-08-30 23:36"
"turplan-camino","C:\Dev\my-camino\handover\turplan-camino-handover.zip","True","True","24","True","True","True",,"2025-08-30 23:36"
"forskning-studier","C:\Dev\my-camino\handover\forskning-studier-handover.zip","True","True","24","True","True","True",,"2025-08-30 23:36"
"product-roadmap","C:\Dev\my-camino\handover\product-roadmap-handover.zip","True","True","50","True","True","True",,"2025-09-01 09:48"
