"ChatKey","CapturesExists","AutosplitCount","OpsReplyCount","HandoverCount","LatestFile","LatestWriteTime"
"dev-platform","True","0","0","0","backup-captures-before-reingest-20250906-2110.zip","06.09.2025 21:10:15"
"ops-workflow","True","0","0","1","handover-summary-20250906-2304.md","06.09.2025 23:05:10"
"product-roadmap","True","0","0","0","",
"pilot-studier","True","0","0","0","",
"forskning-studier","True","0","0","0","",
"partner-tilskudd","True","0","0","0","",
"turplan-camino","True","0","0","0","",
"ideer-lab","True","0","0","0","",
